City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,morant bay,17.8815,-76.4093,26.97,90,100,6.49,JM,1730832595
228,puerto madero,14.7208,-92.4215,28.47,78,78,3.76,MX,1730832617
229,laguna salada,19.6483,-71.0945,29.9,82,100,1.34,DO,1730832639
230,nova sintra,14.8667,-24.7167,26.44,78,0,10.69,CV,1730832662
231,port macquarie,-31.4333,152.9167,18.93,99,69,0.45,AU,1730832684
232,booue,-0.0921,11.9385,23.21,96,100,0.81,GA,1730832706
233,klaksvik,62.2266,-6.589,9.19,89,76,7.31,FO,1730832728
234,quellon,-43.1167,-73.6167,12.5,79,99,8.92,CL,1730832750
235,ploneour-lanvern,47.9,-4.2833,13.18,100,100,1.03,FR,1730832773
236,trinity beach,-16.7888,145.6968,21.94,83,18,3.6,AU,1730832795
237,portland,45.5234,-122.6762,10.96,89,100,1.54,US,1730832456
238,colonia,50.9333,6.95,6.65,89,0,2.06,DE,1730832839
239,sisimiut,66.9395,-53.6735,-8.73,90,71,3.75,GL,1730832862
240,maydanshakhr,34.3956,68.8662,12.7,37,3,0.7,AF,1730832884
241,brisas de zicatela,15.8369,-97.0419,29.82,71,98,5.08,MX,1730832906
242,cambria,35.5641,-121.0808,19.54,46,20,1.54,US,1730832928
243,haiku-pauwela,20.9219,-156.3051,26.79,78,40,9.39,US,1730832950
244,minas de marcona,-15.2119,-75.1103,20.67,51,4,8.34,PE,1730832973
245,anadyr,64.75,177.4833,-8.72,78,0,8.0,RU,1730832995
246,panjakent,39.4952,67.6093,16.87,65,100,3.36,TJ,1730833017
247,polyarnyy,69.1989,33.4478,0.1,97,100,10.25,RU,1730833040
248,westport,41.1415,-73.3579,22.93,66,100,1.79,US,1730833062
249,cholpon-ata,42.6494,77.0823,9.99,77,100,1.89,KG,1730833084
250,palu,-0.8917,119.8707,23.75,96,91,1.61,ID,1730833106
251,gao,16.6362,1.637,27.92,17,0,5.92,ML,1730833128
252,monte santo,-10.4378,-39.3328,33.55,22,11,3.68,BR,1730833151
